r -3 -3 3 -3 0
r 4 -3 4 20 0
r -4 -3 -4 27 0
e 4 6 0 0 3 75
e -3 6 0 180 3 75
e 0.5 12 0 0 0.55 360
e 0.5 17 0 90 0.65 360
e 0.5 17 0 270 0.65 360
r 5 20 30 20 2
r -3 27 38 27 2
e 9 24 0 0 0.45 360
e 9 24 0 120 0.45 360
e 9 24 0 240 0.45 360
e 18 24 0 0 0.815 180
e 18 24 0 90 0.815 180
e 18 24 0 180 0.815 180
e 18 24 0 270 0.815 180
e 28 24 0 0 1 360
r 30 -20 30 19 5
r 38 -12 38 26 5
e 31 16 1 0 2.5 34.5 16
e 38 15 1 0 2.75 34.5 15
e 31 14 1 0 3 34.5 14
e 38 13 1 0 3.25 34.5 13
e 31 9 1 1 2.5 36 9
e 36 9 1 1 2.5 31 9
e 31 7 1 1 2.1 36 7
e 36 7 1 1 2.1 31 7
e 31 5 1 1 2.75 36 5
e 36 5 1 1 2.75 31 5
e 31 3 1 1 3 36 3
e 36 3 1 1 3 31 3
e 31 1 1 1 2.85 36 1
e 36 1 1 1 2.85 31 1
e 31 -10 1 0 2 38 -10
e 38 -5 1 0 2 31 -5
e 31 -10 1 1 2 31 -3
e 36 -3 1 1 2 36 -10
r 31 -20 124 -20 11
r 39 -12 124 -12 11
e 44 -14 2 1.25 200 0.3 10 0
e 46 -18 2 1.2 200 0.35 10 0
e 53 -12 0 90 2 75
e 53 -19 0 270 2 75
e 60 -12 0 90 2 75
e 60 -19 0 270 2 75
e 70 -19 1 1 2 70 -12
e 73.5 -19 1 1 2.25 73.5 -12
e 77 -19 1 1 2.5 77 -12
e 80.5 -19 1 1 2.75 80.5 -12
e 87.5 -14 3 1.35 200 0.35 8
e 95 -19 1 1 2.5 95 -12
e 98 -19 1 1 2.65 98 -12
e 101 -19 1 1 2.8 101 -12
e 104 -19 1 1 2.95 104 -12
e 111 -12 0 90 2 75
e 114 -19 0 270 2 75
r 125 -19 125 -13 10
x 125 -20 13
x 125 -12 13
x 123 -16 14
