h -2 -2 22 18 4
r -1 2 17 2 6
r 2 6 21 6 6
r -1 10 17 10 6
r 2 14 21 14 6
e 5 -1 1 0 3 3 -1
e 9 0 1 0 3 7 0
e 13 -1 1 0 3 11 -1
e 17 0 1 0 3 15 0
e 2 3 1 1 0.55 2 14
e 3 3 1 1 0.45 3 14
e 4 3 1 1 0.65 4 14
e 5 3 1 1 0.3 5 14
e 6 3 1 1 0.75 6 14
e 7 3 1 1 0.25 7 14
e 8 3 1 1 0.375 8 14
e 9 3 1 1 0.45 9 14
e 10 3 1 1 0.7 10 14
e 11 3 1 1 0.3 11 14
e 12 3 1 1 0.45 12 14
e 13 3 1 1 0.60 13 14
e 14 3 1 1 0.75 14 14
e 15 3 1 1 0.55 15 14
e 16 3 1 1 0.95 16 14
e 17 3 1 1 0.35 17 14
e 18 3 1 1 0.45 18 14
e 19 3 1 1 0.65 19 14
e 20 3 1 1 0.55 20 14
e -1 3 1 1 1.9 -1 14
e -1 14 1 1 1.9 -1 3
e 20 3 1 1 1.9 20 14
e 20 14 1 1 1.9 20 3
x 21 17 7
